oil2,937,927,2,0,284,Min,-0.73326001
nous1,51,44,2,0,29,Min,1.567072
eg_int_s,8,28,0,3,28,Min,-1.20527282
eg_disc2_s,8,28,0,3,28,Min,-7.56589692
eg_disc_s,8,28,0,4,28,Min,-4.0246301
watertreatnd_flow,421,380,5,0,155,Min,348337.0417
bchoco05,91,104,6,0,30,Max,0.96288154
watercontamination0202r,196,284,7,0,1,Min,97.90443677
feedtray,98,92,7,0,62,Min,-61.939233400000006
bchoco06,119,135,7,0,47,Max,0.9627765
eg_all_s,8,28,0,7,28,Min,-1.1927511999999998
bchoco07,135,154,8,0,56,Max,0.98078389
sjup2,1697,17086,8,0,15120,Min,11229.03
sfacloc1_2_95,172,209,9,0,15,Min,15.49712789
transswitch0009p,70,140,9,0,55,Min,3203.686856
bchoco08,169,191,9,0,79,Max,0.96918532
sfacloc1_3_95,234,282,9,0,15,Min,3.94803537
sfacloc1_4_95,296,355,9,0,15,Min,0.78514798
transswitch0009r,70,104,9,0,73,Min,5183.482883
tspn05,21,11,10,0,6,Min,191.2552075
squfl010-080persp,1611,1681,10,0,800,Min,509.7060216
var_con10,574,465,12,0,272,Min,0.0
heatexch_spec1,57,65,12,0,1,Min,154997.32
synheat,57,65,12,0,1,Min,154997.28
var_con5,574,465,12,0,272,Min,10.0
ex1233,53,65,12,0,1,Min,155010.6713
watercontamination0303r,385,557,14,0,1,Min,424.5441039
waterx,71,55,14,0,16,Min,909.0278626
squfl015-080persp,2416,2481,15,0,1200,Min,402.48853
squfl015-060,916,961,15,0,1,Min,366.6218167
squfl015-080,1216,1281,15,0,1,Min,402.48853
heatexch_gen2,149,167,16,0,65,Min,585255.5835
heatexch_spec2,77,91,16,0,1,Min,634978.0
ghg_2veh,58,63,18,0,48,Min,7.43354565
oil,1536,1547,19,0,418,Min,-0.93249394
transswitch0014r,139,198,20,0,149,Min,0.0
squfl020-150persp,6021,6151,20,0,3000,Min,557.84865
squfl020-150,3021,3151,20,0,1,Min,557.84865
squfl020-040,821,841,20,0,1,Min,209.2548902
squfl020-050,1021,1051,20,0,1,Min,230.2021495
deb6,476,508,20,0,252,Min,0.0
transswitch0014p,139,278,20,0,121,Min,0.0
deb10,183,130,22,0,64,Min,10.0
squfl025-040persp,2026,2041,25,0,1000,Min,197.3338812
squfl025-025,651,651,25,0,1,Min,168.80722609999995
squfl025-040,1026,1041,25,0,1,Min,197.3338812
squfl025-030,776,781,25,0,1,Min,205.5016551
waterno2_03,499,617,27,0,195,Min,115.0040603
tspn08,45,19,28,0,9,Min,290.5668527
squfl030-150persp,9030,9150,30,0,4500,Min,430.5765524
sfacloc1_2_90,200,349,30,0,15,Min,13.40914165
sfacloc1_4_90,324,495,30,0,15,Min,0.47854914
sfacloc1_3_90,262,422,30,0,15,Min,3.14580625
squfl030-150,4531,4651,30,0,1,Min,430.5342834
squfl030-100persp,6031,6101,30,0,3000,Min,363.0938483
squfl030-100,3031,3101,30,0,1,Min,363.093848
ghg_3veh,97,120,36,0,88,Min,7.754324499999999
waterno2_04,665,823,36,0,260,Min,145.4392921
gasprod_sarawak16,1527,2253,38,0,544,Min,-32331.47264
gasprod_sarawak81,7572,11093,38,0,2754,Min,-32399.40491
kport20,102,28,2,38,20,Min,31.80929819
ndcc15persp,721,347,40,0,40,Min,78.21316047
squfl040-080,3241,3281,40,0,1,Min,263.899161
ndcc15,681,307,40,0,40,Min,76.10428979999998
squfl040-080persp,6441,6481,40,0,3200,Min,263.8991613
casctanks,501,518,40,0,218,Min,9.16347284
FLay05H,383,466,40,0,5,Min,64.49806199
FLay05M,63,66,40,0,5,Min,64.49806199
transswitch0030r,278,392,41,0,307,Min,0.0
transswitch0030p,278,556,41,0,247,Min,0.0
fo7,115,212,42,0,14,Min,20.72982507
